file,class,method,variable,usage
D:\BilalModel\bilal\OOP\Ijaz\intellij-sdk-docs\code_samples\simple_language_plugin\src\main\java\org\intellij\sdk\language\psi\SimpleElementType.java,org.intellij.sdk.language.psi.SimpleElementType,SimpleElementType/1[java.lang.String],debugName,1
D:\BilalModel\bilal\OOP\Ijaz\intellij-sdk-docs\code_samples\comparing_string_references_inspection\src\main\java\org\intellij\sdk\codeInspection\InspectionBundle.java,org.intellij.sdk.codeInspection.InspectionBundle,"message/2[java.lang.String,java.lang.Object[]]",params,1
D:\BilalModel\bilal\OOP\Ijaz\intellij-sdk-docs\code_samples\comparing_string_references_inspection\src\main\java\org\intellij\sdk\codeInspection\InspectionBundle.java,org.intellij.sdk.codeInspection.InspectionBundle,"message/2[java.lang.String,java.lang.Object[]]",key,1
D:\BilalModel\bilal\OOP\Ijaz\intellij-sdk-docs\code_samples\conditional_operator_intention\src\main\java\org\intellij\sdk\intention\ConditionalOperatorConverter.java,org.intellij.sdk.intention.ConditionalOperatorConverter,"invoke/3[org.intellij.sdk.intention.Project,org.intellij.sdk.intention.Editor,org.intellij.sdk.intention.PsiElement]",editor,0
D:\BilalModel\bilal\OOP\Ijaz\intellij-sdk-docs\code_samples\conditional_operator_intention\src\main\java\org\intellij\sdk\intention\ConditionalOperatorConverter.java,org.intellij.sdk.intention.ConditionalOperatorConverter,"invoke/3[org.intellij.sdk.intention.Project,org.intellij.sdk.intention.Editor,org.intellij.sdk.intention.PsiElement]",factory,4
D:\BilalModel\bilal\OOP\Ijaz\intellij-sdk-docs\code_samples\conditional_operator_intention\src\main\java\org\intellij\sdk\intention\ConditionalOperatorConverter.java,org.intellij.sdk.intention.ConditionalOperatorConverter,"invoke/3[org.intellij.sdk.intention.Project,org.intellij.sdk.intention.Editor,org.intellij.sdk.intention.PsiElement]",declaredElement,3
D:\BilalModel\bilal\OOP\Ijaz\intellij-sdk-docs\code_samples\conditional_operator_intention\src\main\java\org\intellij\sdk\intention\ConditionalOperatorConverter.java,org.intellij.sdk.intention.ConditionalOperatorConverter,"invoke/3[org.intellij.sdk.intention.Project,org.intellij.sdk.intention.Editor,org.intellij.sdk.intention.PsiElement]",conditionalExpression,11
D:\BilalModel\bilal\OOP\Ijaz\intellij-sdk-docs\code_samples\conditional_operator_intention\src\main\java\org\intellij\sdk\intention\ConditionalOperatorConverter.java,org.intellij.sdk.intention.ConditionalOperatorConverter,"invoke/3[org.intellij.sdk.intention.Project,org.intellij.sdk.intention.Editor,org.intellij.sdk.intention.PsiElement]",codeStylist,2
D:\BilalModel\bilal\OOP\Ijaz\intellij-sdk-docs\code_samples\conditional_operator_intention\src\main\java\org\intellij\sdk\intention\ConditionalOperatorConverter.java,org.intellij.sdk.intention.ConditionalOperatorConverter,"invoke/3[org.intellij.sdk.intention.Project,org.intellij.sdk.intention.Editor,org.intellij.sdk.intention.PsiElement]",originalStatement,9
D:\BilalModel\bilal\OOP\Ijaz\intellij-sdk-docs\code_samples\conditional_operator_intention\src\main\java\org\intellij\sdk\intention\ConditionalOperatorConverter.java,org.intellij.sdk.intention.ConditionalOperatorConverter,"invoke/3[org.intellij.sdk.intention.Project,org.intellij.sdk.intention.Editor,org.intellij.sdk.intention.PsiElement]",project,2
D:\BilalModel\bilal\OOP\Ijaz\intellij-sdk-docs\code_samples\conditional_operator_intention\src\main\java\org\intellij\sdk\intention\ConditionalOperatorConverter.java,org.intellij.sdk.intention.ConditionalOperatorConverter,"invoke/3[org.intellij.sdk.intention.Project,org.intellij.sdk.intention.Editor,org.intellij.sdk.intention.PsiElement]",assignmentExpression,2
