file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
D:\BilalModel\bilal\OOP\Ijaz\eclipse.jdt.ls\org.eclipse.jdt.ls.core\src\org\eclipse\jdt\ls\core\internal\JobHelpers.java,org.eclipse.jdt.ls.core.internal.JobHelpers$ProjectRegistryRefreshJobMatcher,innerclass,3,3,0,3,1,1,0,3,0,1,NaN,NaN,1,0,1,0,0,0,1,0,0,0,1,1,1,0,0,0,1,0,0,6,1,0,0,0,0,1,0,1,0,1,0,0,0,0,14,8,0
D:\BilalModel\bilal\OOP\Ijaz\eclipse.jdt.ls\org.eclipse.jdt.ls.core\src\org\eclipse\jdt\ls\core\internal\JobHelpers.java,org.eclipse.jdt.ls.core.internal.JobHelpers$InitializeJobMatcher,innerclass,3,3,0,3,1,1,0,1,0,1,NaN,NaN,1,0,1,0,0,0,1,0,0,0,1,1,1,0,0,0,1,0,0,6,1,0,0,0,0,0,0,1,0,1,0,0,0,0,12,8,0
D:\BilalModel\bilal\OOP\Ijaz\eclipse.jdt.ls\org.eclipse.jdt.ls.core\src\org\eclipse\jdt\ls\core\internal\search\text\FileCharSequenceProvider.java,org.eclipse.jdt.ls.core.internal.search.text.FileCharSequenceProvider$FileCharSequence,innerclass,7,7,0,7,62,1,0,31,25,0.7653061,0.53571427,0.53571427,14,0,8,6,0,0,8,0,0,0,7,1,0,7,0,0,1,0,2,223,16,6,22,5,2,8,8,44,5,30,5,0,0,0,90,18,0
D:\BilalModel\bilal\OOP\Ijaz\eclipse.jdt.ls\org.eclipse.jdt.ls.core\src\org\eclipse\jdt\ls\core\internal\search\text\FileCharSequenceProvider.java,org.eclipse.jdt.ls.core.internal.search.text.FileCharSequenceProvider$FileCharSequenceException,innerclass,1,1,0,1,5,4,0,1,3,1,0,0,3,0,1,0,0,2,3,0,0,0,1,1,0,1,0,0,1,0,0,18,0,0,0,0,0,0,1,2,0,2,1,0,0,0,24,9,0
D:\BilalModel\bilal\OOP\Ijaz\eclipse.jdt.ls\org.eclipse.jdt.ls.core\src\org\eclipse\jdt\ls\core\internal\corext\refactoring\reorg\ArrayTypeConverter.java,org.eclipse.jdt.ls.core.internal.corext.refactoring.reorg.ArrayTypeConverter,class,5,7,2,5,6,1,0,3,15,0,0,0,6,5,0,1,0,5,5,0,0,0,0,0,0,0,0,0,0,0,5,24,5,0,0,0,0,0,0,5,0,5,0,0,0,0,12,0,0
D:\BilalModel\bilal\OOP\Ijaz\eclipse.jdt.ls\org.eclipse.jdt.ls.tests\projects\eclipse\hello\test\foo\bar\AbstractTest.java,foo.bar.AbstractTest,class,0,0,0,0,0,1,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1025,0
D:\BilalModel\bilal\OOP\Ijaz\eclipse.jdt.ls\org.eclipse.jdt.ls.core\src\org\eclipse\jdt\ls\core\internal\handlers\CodeActionProposal.java,org.eclipse.jdt.ls.core.internal.handlers.CodeActionProposal,interface,2,2,0,2,1,1,0,0,0,0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1,0
D:\BilalModel\bilal\OOP\Ijaz\eclipse.jdt.ls\org.eclipse.jdt.ls.core\src\org\eclipse\jdt\ls\core\internal\javadoc\JavadocContentAccess2.java,org.eclipse.jdt.ls.core.internal.javadoc.JavadocContentAccess2$InheritDocVisitor$Anonymous2,anonymous,0,0,0,0,1,1,0,0,0,0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2,-1,0
D:\BilalModel\bilal\OOP\Ijaz\eclipse.jdt.ls\org.eclipse.jdt.ls.tests\projects\gradle\apt\src\main\java\SourceTargetMapper.java,SourceTargetMapper,interface,6,7,1,6,2,1,0,1,1,1,0,0,2,0,0,0,0,2,2,0,0,0,1,0,0,0,0,1,0,0,0,5,0,0,0,0,0,4,0,1,0,1,0,0,0,0,13,1,0
D:\BilalModel\bilal\OOP\Ijaz\eclipse.jdt.ls\org.eclipse.jdt.ls.core\src\org\eclipse\jdt\ls\core\internal\javadoc\JavadocContentAccess2.java,org.eclipse.jdt.ls.core.internal.javadoc.JavadocContentAccess2$InheritDocVisitor$Anonymous1,anonymous,0,0,0,0,1,1,0,0,0,0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2,-1,0
